playerName,match_name,score
T. Meyer,Alexander Meyer,86
T. Buchmann,Tarek Buchmann,85
L. Hennig,Giovanni Di Lorenzo,53
R. Di Gennaro,Raffaele Di Gennaro,86
Unai Marrero,Unai Marrero,100
Alejandro Iturbe,Iturbe,90
R. Walters,Reuell Walters,84
D. Khocholava,Davit Khocholava,86
J. Martín,Lautaro Martínez,74
L. Sepe,Luigi Sepe,76
S. Ostrzinski,Piotr Zieliński,57
M. Dams,Adam Marušić,71
J. Lannin-Sweet,Giovanni Simeone,52
A. Tenas,Arnau Tenas,79
A. Letellier,Alexandre Letellier,86
W Kuhn,Jules Koundé,60
A. Papadopoulos,Antonios Papadopoulos,87
N. Janssen,Jana,68
K. Jansen,Jana,68
M. Ae,Karim Adeyemi,72
Cláudio Ramos,Cláudio Ramos,100
R. Belid,Ellie Roebuck,61
U. González,Nico González,84
D. Kochen,Sabrina D'Angelo,86
R. Van De Riet,Rodrigo Javier De Paul,86
P. Cubarsí,Pablo Barrios,55
B. Rovers,Yorbe Vertessen,60
Antonio Gomis,Antonio Gomis,100
Rafel Obrador,Obrador,90
V. Tobias,Takehiro Tomiyasu,60
L. Cañizares,Cañizares,95
N. Schiks,Timo Schlieck,55
Ander Astralaga,André Silva,64
L. D'Avino,Sabrina D'Angelo,86
A. Dithmer,Andreas Dithmer,86
E. Astigarraga,Tainara,61
L. Semic,Nicolas Seiwald,61
Mario Martín,Iñigo Martínez,70
Gonçalo Ribeiro,Gonçalo Ramos,69
K. Peersman,Kjell Peersman,85
N. Contini,Nikita Contini,84
T. Sander,Theo Sander,82
M. Jimenez,José María Giménez,57
J. Díaz,Rúben Dias,51
T. Köhler,Thomas Müller,61
S. Carson,Scott Carson,82
Lino Sousa,Saúl,72
Alvaro Carrillo,Álvaro,90
D. Piñeiro,Sabrina D'Angelo,86
C. Lenz,Christopher Lenz,86
E. Audero,Emil Audero,82
F. Krätzig,Kerstin Casparij,53
Á. Odriozola,Odriozola,100
J. Pacheco,Pacheco,95
M. Casado,Marc Casadó,74
B. Sarr,Bouna Sarr,76
I. Kostis,Toni Kroos,53
